id,title,description,priority
1,"Production database connection dropping under load","The Postgres database drops active connections when traffic spikes above 500 req/s. Users receive HTTP 500 errors during checkout.",High
2,"Fix authentication token expiration handling","JWT token expiration is not renewing automatically logging out active users in the middle of filling project forms.",High
3,"Security vulnerability patch for dependency CVE-2024-9912","Remote code execution vulnerability discovered in image parser library. Needs urgent patch deployment to production.",High
4,"Stripe payment gateway failing for international cards","Webhooks for foreign credit card transactions are failing with status 400 preventing global user signups.",High
5,"Main web server high CPU memory leak causing crash","Node worker process memory increases continuously until OOM killer terminates main backend container every 3 hours.",High
6,"User signup flow completely broken on mobile Safari","Form submit button is non-clickable on iOS Safari due to dynamic overlay z-index bug blocking all new mobile registration.",High
7,"Data corruption in user profile update API","Updating avatar picture accidentally wipes user bio and location fields in the database.",High
8,"SSL certificate expired on primary domain api.sfcollab.com","Browsers throwing security warnings and blocking all API requests across web app.",High
9,"Fix CORS error blocking frontend API communication","Production frontend origin updated but backend CORS whitelist not updated halting frontend developer workflow.",High
10,"API rate limiter misconfigured blocking valid admin actions","Rate limits are treating internal microservices as external clients causing system-wide service failure.",High
11,"Email notification worker service completely stalled","Redis queue consumer crashed. Password reset emails are not being sent to users.",High
12,"Critical vulnerability in file upload file-type validation","Users can upload arbitrary executable scripts due to missing extension sanitizer.",High
13,"Webhook payload signature validation failure","All incoming partner integration events fail verification breaking third-party synchronization.",High
14,"Database replication lag exceeding 10 minutes","Read replicas are significantly behind master database causing stale data reads for project dashboards.",High
15,"Fatal crash on landing page for unauthenticated visitors","Null pointer exception when reading current user context causes white screen of death on home page.",High
16,"Billing webhook failing to grant subscription tiers","Paid customers are not upgraded automatically after successful payment due to payload parsing bug.",High
17,"Deploy hotfix for infinite redirect loop on login","Redirect logic loops infinitely between /login and /dashboard when cookie session expires.",High
18,"S3 file storage bucket permissions incorrectly modified to private","Public project attachments and user avatars fail to load across entire application.",High
19,"WebSocket connection disconnects every 30 seconds","Real-time task board updates and live chat stop functioning for active team members.",High
20,"SQL injection vulnerability in search input parameter","Sanitization missing on task search query parameter exposing raw database queries.",High
21,"Implement CSV export for task reporting dashboard","Add export button to allow team leads to download task lists and metrics as a CSV file.",Medium
22,"Add dark mode toggle to user preference settings","Allow users to switch between light and dark themes in their profile preferences panel.",Medium
23,"Optimize task list pagination query performance","Replace OFFSET pagination with keyset cursor pagination to improve query time on large task boards.",Medium
24,"Refactor notification component to use global state","Clean up duplicated prop passing across top navigation and sidebar components.",Medium
25,"Implement search filter by assignee and tag","Allow users to filter tasks by team member assignment and custom project tags.",Medium
26,"Add drag and drop support for Kanban column reorganization","Integrate HTML5 drag and drop API to reorder task cards across Kanban columns.",Medium
27,"Build user activity history log view","Display chronological audit trail of task status changes and edits made by team members.",Medium
28,"Integrate Markdown preview in task description editor","Add tab to preview formatted Markdown before submitting task description.",Medium
29,"Add automated email summary for weekly task progress","Send weekly summary digest to project managers containing completed vs pending tasks.",Medium
30,"Implement task dependency linkage UI","Allow users to mark a task as blocked by or dependent on another task ID.",Medium
31,"Upgrade React Router to v6.20 latest patch","Update frontend dependencies to benefit from latest routing performance improvements.",Medium
32,"Add task estimated effort field in story points","Extend task creation form to accept story point estimates (1, 2, 3, 5, 8).",Medium
